,State,Cost To Live Index,Unemployment Rate,Education Rank
0,Mississippi,83.3,3.6,43
1,Kansas,86.5,2.4,23
2,Alabama,87.9,2.6,47
3,Oklahoma,87.9,3.0,42
4,Georgia,88.8,2.8,26
5,Tennessee,89.0,3.3,33
6,Missouri,89.8,2.5,30
7,Iowa,89.9,2.5,18
8,West Virginia,90.5,3.7,45
9,Indiana,90.6,2.6,22
10,Arkansas,90.9,3.3,41
11,New Mexico,91.0,4.5,50
12,Michigan,91.3,4.2,38
13,Ohio,91.3,3.9,31
14,Texas,92.1,4.0,34
15,Louisiana,93.0,3.6,48
16,Kentucky,93.1,3.7,36
17,South Carolina,93.6,3.2,44
18,Nebraska,93.7,2.0,9
19,Illinois,94.3,4.4,11
20,Wyoming,94.3,3.0,21
21,North Carolina,95.7,3.4,7
22,Wisconsin,96.4,3.0,8
23,North Dakota,98.2,2.3,25
24,Utah,99.0,2.0,10
25,Minnesota,100.0,1.8,17
26,Florida,100.3,2.7,3
27,Montana,100.7,2.7,32
28,South Dakota,101.0,2.3,19
29,Virginia,101.8,2.7,12
30,Idaho,102.1,2.6,29
31,Pennsylvania,102.5,4.3,37
32,Arizona,103.2,3.3,46
33,Colorado,105.3,3.3,5
34,Nevada,106.3,4.4,40
35,Delaware,107.9,4.4,24
36,New Hampshire,109.9,2.0,13
37,Washington,111.6,3.7,4
38,Maine,115.0,2.8,28
39,New Jersey,115.2,3.7,1
40,Vermont,117.0,2.1,15
41,Rhode Island,117.2,2.7,39
42,Connecticut,121.6,3.7,6
43,Maryland,124.0,3.9,14
44,Alaska,127.1,4.5,49
45,Oregon,130.1,3.5,35
46,Massachusetts,135.0,3.5,2
47,California,142.2,3.9,20
48,New York,148.2,4.4,16
49,Hawaii,193.3,4.1,27
